id,time,var1,var2,label
1,2019/3/4,31,153,0
2,2019/3/4,36,138,0
3,2019/3/4,23,180,1
4,2019/3/5,35,152,0
5,2019/3/6,25,152,0
6,2019/3/6,29,188,0
7,2019/3/7,30,156,0
8,2019/3/7,28,182,0
9,2019/3/7,26,176,1
10,2019/3/7,23,136,0
11,2019/3/7,26,135,1
12,2019/3/7,23,189,0
13,2019/3/7,23,151,0
14,2019/3/8,31,188,0
15,2019/3/8,31,137,0
16,2019/3/8,,182,0
17,2019/3/8,24,155,0
18,2019/3/8,28,187,0
19,2019/3/8,30,185,0
20,2019/3/9,30,183,0
21,2019/3/9,23,158,0
22,2019/3/9,,152,0
23,2019/3/9,28,157,0
24,2019/3/9,25,155,0
25,2019/3/10,24,177,1
26,2019/3/10,22,157,0
27,2019/3/10,31,139,0
28,2019/3/11,27,158,0
29,2019/3/11,31,159,0
30,2019/3/11,29,159,0
31,2019/3/11,23,152,0
32,2019/3/4,26,135,0
33,2019/3/7,,131,0
34,2019/3/7,24,151,0
35,2019/3/7,25,183,1
36,2019/3/8,22,178,0
37,2019/3/8,22,176,1
38,2019/3/8,25,152,0
39,2019/3/9,29,188,0
40,2019/3/9,26,187,0
41,2019/3/10,28,139,1
42,2019/3/10,27,182,1
